CBSA_CODE,YEAR,MONTH,unemployment_rate_monthly
10140,2011,4,12.4
10140,2011,5,12.8
10140,2011,6,13.2
10140,2011,7,12.4
10140,2011,8,13.1
10140,2011,9,12.9
10140,2011,10,13.4
10140,2011,11,13.7
10140,2011,12,14.8
10140,2012,1,15.4
10140,2012,2,15.4
10140,2012,3,15.2
10140,2012,4,13.8
10140,2012,5,13.8
10140,2012,6,13.2
10140,2012,7,12.9
10140,2012,8,12.7
10140,2012,9,12.0
10140,2012,10,11.6
10140,2012,11,11.5
10140,2012,12,12.6
10140,2013,1,14.0
10140,2013,2,13.4
10140,2013,3,11.2
10140,2013,4,11.8
10140,2013,5,11.6
10140,2013,6,11.2
10140,2013,7,10.7
10140,2013,8,10.4
10140,2013,9,10.1
10140,2013,10,10.5
10140,2013,11,10.9
10140,2013,12,11.9
10140,2014,1,11.2
10140,2014,2,11.9
10140,2014,3,11.1
10140,2014,4,9.5
10140,2014,5,9.7
10140,2014,6,8.2
10140,2014,7,8.4
10140,2014,8,9.4
10140,2014,9,9.2
10140,2014,10,9.4
10140,2014,11,10.1
10140,2014,12,10.2
10140,2015,1,10.7
10140,2015,2,10.7
10140,2015,3,10.0
10140,2015,4,9.3
10140,2015,5,9.1
10140,2015,6,8.7
10140,2015,7,8.3
10140,2015,8,8.5
10140,2015,9,7.9
10140,2015,10,8.1
10140,2015,11,8.5
10140,2015,12,10.0
10140,2016,1,9.1
10140,2016,2,9.1
10140,2016,3,9.3
10140,2016,4,8.1
10140,2016,5,7.4
10140,2016,6,7.8
10140,2016,7,7.6
10140,2016,8,8.2
10140,2016,9,7.2
10140,2016,10,7.6
10140,2016,11,7.4
10140,2016,12,7.9
10140,2017,1,8.5
10140,2017,2,8.0
10140,2017,3,7.9
10140,2017,4,7.1
10140,2017,5,6.4
10140,2017,6,5.6
10140,2017,7,6.2
10140,2017,8,6.3
10140,2017,9,6.2
10140,2017,10,6.1
10140,2017,11,6.5
10140,2017,12,7.5
10140,2018,1,7.8
10140,2018,2,7.8
10140,2018,3,7.8
10140,2018,4,7.0
10140,2018,5,6.1
10140,2018,6,6.2
10140,2018,7,5.9
10140,2018,8,6.2
10140,2018,9,5.5
10140,2018,10,6.1
10140,2018,11,6.5
10140,2018,12,7.6
10140,2019,1,8.3
10140,2019,2,9.3
10140,2019,3,8.3
10140,2019,4,7.4
10140,2019,5,6.7
10140,2019,6,6.8
10140,2019,7,6.6
10140,2019,8,6.8
10140,2019,9,5.8
10140,2019,10,6.2
10140,2019,11,6.3
10140,2019,12,6.8
10140,2020,1,7.8
10140,2020,2,6.9
10140,2020,3,7.3
10140,2020,4,19.6
10140,2020,5,18.3
10140,2020,6,13.3
10140,2020,7,12.6
10140,2020,8,10.4
10140,2020,9,9.6
10140,2020,10,8.5
10140,2020,11,9.1
10140,2020,12,9.9
10140,2021,1,10.0
10140,2021,2,10.0
10140,2021,3,8.9
10140,2021,4,7.2
10140,2021,5,6.7
10140,2021,6,6.5
10140,2021,7,6.3
10140,2021,8,6.6
10140,2021,9,5.8
10140,2021,10,5.7
10140,2021,11,5.7
10140,2021,12,5.7
10140,2022,1,6.9
10140,2022,2,6.5
10140,2022,3,6.5
10140,2022,4,5.1
10140,2022,5,5.5
10140,2022,6,5.0
10140,2022,7,4.4
10140,2022,8,5.8
10140,2022,9,4.6
10140,2022,10,5.3
10140,2022,11,6.1
10140,2022,12,6.3
10140,2023,1,7.1
10140,2023,2,7.4
10140,2023,3,6.8
10140,2023,4,5.3
10140,2023,5,4.7
10140,2023,6,3.8
10140,2023,7,5.1
10140,2023,8,6.0
10140,2023,9,5.2
10140,2023,10,6.0
10140,2023,11,6.1
10140,2023,12,7.2
10140,2024,1,7.5
10140,2024,2,7.6
10140,2024,3,6.9
10140,2024,4,5.6
10140,2024,5,5.8
10140,2024,6,5.0
10140,2024,7,6.0
10140,2024,8,6.2
10140,2024,9,5.2
10140,2024,10,5.9
10140,2024,11,6.5
10140,2024,12,6.7
10140,2025,1,6.7
10140,2025,2,7.3
10140,2025,3,6.1
10140,2025,4,5.3
10140,2025,5,5.5
10140,2025,6,4.7
10140,2025,7,5.6
10140,2025,8,5.7
10140,2025,9,4.9
10140,2025,11,5.9
10140,2025,12,6.9
10180,2009,1,4.9
10180,2009,2,5.0
10180,2009,3,5.1
10180,2009,4,4.6
10180,2009,5,5.6
10180,2009,6,6.8
10180,2009,7,6.7
10180,2009,8,6.4
10180,2009,9,6.5
10180,2009,10,6.2
10180,2009,11,6.1
10180,2009,12,6.1
10180,2010,1,7.3
10180,2010,2,7.1
10180,2010,3,7.0
10180,2010,4,6.7
10180,2010,5,6.8
10180,2010,6,7.3
10180,2010,7,7.4
10180,2010,8,7.3
10180,2010,9,7.0
10180,2010,10,6.9
10180,2010,11,7.1
10180,2010,12,6.7
10180,2011,1,7.3
10180,2011,2,7.2
10180,2011,3,7.0
10180,2011,4,6.6
10180,2011,5,6.9
10180,2011,6,7.8
10180,2011,7,7.8
10180,2011,8,7.4
10180,2011,9,7.2
10180,2011,10,6.6
10180,2011,11,6.2
10180,2011,12,6.0
10180,2012,1,6.3
10180,2012,2,6.1
10180,2012,3,5.7
10180,2012,4,5.4
10180,2012,5,5.8
10180,2012,6,6.5
10180,2012,7,6.5
10180,2012,8,6.0
10180,2012,9,5.5
10180,2012,10,5.3
10180,2012,11,5.1
10180,2012,12,5.3
10180,2013,1,6.0
10180,2013,2,5.7
10180,2013,3,5.4
10180,2013,4,5.1
10180,2013,5,5.5
10180,2013,6,6.2
10180,2013,7,6.0
10180,2013,8,5.6
10180,2013,9,5.5
10180,2013,10,5.2
10180,2013,11,4.9
